id,model,field,answer_place,result
136,google/gemini-2.0-flash-001,Culture administrative et juridique,0,true
136,google/gemini-2.0-flash-001,Culture administrative et juridique,0,true
136,google/gemini-2.0-flash-001,Culture administrative et juridique,2,true
136,google/gemini-2.0-flash-001,Culture administrative et juridique,1,true
760,google/gemini-2.0-flash-001,Finances publiques,2,true
760,google/gemini-2.0-flash-001,Finances publiques,1,true
760,google/gemini-2.0-flash-001,Finances publiques,2,true
760,google/gemini-2.0-flash-001,Finances publiques,1,true
760,google/gemini-2.0-flash-001,Finances publiques,0,true
760,google/gemini-2.0-flash-001,Finances publiques,0,true
672,google/gemini-2.0-flash-001,Culture numérique,1,true
672,google/gemini-2.0-flash-001,Culture numérique,2,true
672,google/gemini-2.0-flash-001,Culture numérique,0,true
672,google/gemini-2.0-flash-001,Culture numérique,0,true
672,google/gemini-2.0-flash-001,Culture numérique,2,true
672,google/gemini-2.0-flash-001,Culture numérique,1,true
29,google/gemini-2.0-flash-001,Finances publiques,1,true
29,google/gemini-2.0-flash-001,Finances publiques,2,true
29,google/gemini-2.0-flash-001,Finances publiques,0,true
29,google/gemini-2.0-flash-001,Finances publiques,0,true
29,google/gemini-2.0-flash-001,Finances publiques,2,false
29,google/gemini-2.0-flash-001,Finances publiques,1,false
787,google/gemini-2.0-flash-001,Culture administrative et juridique,1,true
787,google/gemini-2.0-flash-001,Culture administrative et juridique,2,true
787,google/gemini-2.0-flash-001,Culture administrative et juridique,0,true
787,google/gemini-2.0-flash-001,Culture administrative et juridique,0,true
787,google/gemini-2.0-flash-001,Culture administrative et juridique,2,true
787,google/gemini-2.0-flash-001,Culture administrative et juridique,1,true
880,google/gemini-2.0-flash-001,Finances publiques,1,true
880,google/gemini-2.0-flash-001,Finances publiques,2,true
880,google/gemini-2.0-flash-001,Finances publiques,0,true
880,google/gemini-2.0-flash-001,Finances publiques,0,true
880,google/gemini-2.0-flash-001,Finances publiques,2,true
880,google/gemini-2.0-flash-001,Finances publiques,1,true
580,google/gemini-2.0-flash-001,Culture administrative et juridique,1,true
580,google/gemini-2.0-flash-001,Culture administrative et juridique,2,true
580,google/gemini-2.0-flash-001,Culture administrative et juridique,0,true
580,google/gemini-2.0-flash-001,Culture administrative et juridique,0,true
580,google/gemini-2.0-flash-001,Culture administrative et juridique,2,true
580,google/gemini-2.0-flash-001,Culture administrative et juridique,1,true
183,google/gemini-2.0-flash-001,Finances publiques,1,true
183,google/gemini-2.0-flash-001,Finances publiques,2,true
183,google/gemini-2.0-flash-001,Finances publiques,0,true
183,google/gemini-2.0-flash-001,Finances publiques,0,true
183,google/gemini-2.0-flash-001,Finances publiques,2,true
183,google/gemini-2.0-flash-001,Finances publiques,1,true
859,google/gemini-2.0-flash-001,Culture administrative et juridique,2,true
859,google/gemini-2.0-flash-001,Culture administrative et juridique,1,true
859,google/gemini-2.0-flash-001,Culture administrative et juridique,2,true
859,google/gemini-2.0-flash-001,Culture administrative et juridique,1,true
859,google/gemini-2.0-flash-001,Culture administrative et juridique,0,true
859,google/gemini-2.0-flash-001,Culture administrative et juridique,0,true
103,google/gemini-2.0-flash-001,Culture numérique,0,true
103,google/gemini-2.0-flash-001,Culture numérique,0,true
103,google/gemini-2.0-flash-001,Culture numérique,1,true
103,google/gemini-2.0-flash-001,Culture numérique,2,true
103,google/gemini-2.0-flash-001,Culture numérique,1,true
103,google/gemini-2.0-flash-001,Culture numérique,2,true
513,google/gemini-2.0-flash-001,Finances publiques,1,true
513,google/gemini-2.0-flash-001,Finances publiques,2,true
513,google/gemini-2.0-flash-001,Finances publiques,0,true
513,google/gemini-2.0-flash-001,Finances publiques,0,true
513,google/gemini-2.0-flash-001,Finances publiques,2,true
513,google/gemini-2.0-flash-001,Finances publiques,1,true
391,google/gemini-2.0-flash-001,Culture administrative et juridique,2,false
391,google/gemini-2.0-flash-001,Culture administrative et juridique,1,true
391,google/gemini-2.0-flash-001,Culture administrative et juridique,2,false
391,google/gemini-2.0-flash-001,Culture administrative et juridique,1,false
391,google/gemini-2.0-flash-001,Culture administrative et juridique,0,true
391,google/gemini-2.0-flash-001,Culture administrative et juridique,0,true
817,google/gemini-2.0-flash-001,Culture administrative et juridique,0,true
817,google/gemini-2.0-flash-001,Culture administrative et juridique,0,true
817,google/gemini-2.0-flash-001,Culture administrative et juridique,1,true
817,google/gemini-2.0-flash-001,Culture administrative et juridique,2,true
817,google/gemini-2.0-flash-001,Culture administrative et juridique,1,true
817,google/gemini-2.0-flash-001,Culture administrative et juridique,2,true
635,google/gemini-2.0-flash-001,Finances publiques,1,false
635,google/gemini-2.0-flash-001,Finances publiques,2,true
635,google/gemini-2.0-flash-001,Finances publiques,0,false
635,google/gemini-2.0-flash-001,Finances publiques,0,true
635,google/gemini-2.0-flash-001,Finances publiques,2,true
635,google/gemini-2.0-flash-001,Finances publiques,1,true
153,google/gemini-2.0-flash-001,Culture administrative et juridique,2,true
153,google/gemini-2.0-flash-001,Culture administrative et juridique,1,true
153,google/gemini-2.0-flash-001,Culture administrative et juridique,2,true
153,google/gemini-2.0-flash-001,Culture administrative et juridique,1,true
153,google/gemini-2.0-flash-001,Culture administrative et juridique,0,true
153,google/gemini-2.0-flash-001,Culture administrative et juridique,0,true
902,google/gemini-2.0-flash-001,"Organisation, fonctionnement et politiques des institutions européennes",2,true
902,google/gemini-2.0-flash-001,"Organisation, fonctionnement et politiques des institutions européennes",1,true
902,google/gemini-2.0-flash-001,"Organisation, fonctionnement et politiques des institutions européennes",2,true
902,google/gemini-2.0-flash-001,"Organisation, fonctionnement et politiques des institutions européennes",1,true
902,google/gemini-2.0-flash-001,"Organisation, fonctionnement et politiques des institutions européennes",0,true
902,google/gemini-2.0-flash-001,"Organisation, fonctionnement et politiques des institutions européennes",0,true
881,google/gemini-2.0-flash-001,Finances publiques,0,false
881,google/gemini-2.0-flash-001,Finances publiques,0,false
881,google/gemini-2.0-flash-001,Finances publiques,1,false
881,google/gemini-2.0-flash-001,Finances publiques,2,true
881,google/gemini-2.0-flash-001,Finances publiques,1,true
881,google/gemini-2.0-flash-001,Finances publiques,2,true
754,google/gemini-2.0-flash-001,Finances publiques,2,true
754,google/gemini-2.0-flash-001,Finances publiques,1,true
754,google/gemini-2.0-flash-001,Finances publiques,2,true
754,google/gemini-2.0-flash-001,Finances publiques,1,true
754,google/gemini-2.0-flash-001,Finances publiques,0,true
754,google/gemini-2.0-flash-001,Finances publiques,0,true
371,google/gemini-2.0-flash-001,Culture administrative et juridique,1,true
371,google/gemini-2.0-flash-001,Culture administrative et juridique,2,true
371,google/gemini-2.0-flash-001,Culture administrative et juridique,0,true
371,google/gemini-2.0-flash-001,Culture administrative et juridique,0,true
371,google/gemini-2.0-flash-001,Culture administrative et juridique,2,true
371,google/gemini-2.0-flash-001,Culture administrative et juridique,1,true
537,google/gemini-2.0-flash-001,Finances publiques,0,true
537,google/gemini-2.0-flash-001,Finances publiques,0,true
537,google/gemini-2.0-flash-001,Finances publiques,1,true
537,google/gemini-2.0-flash-001,Finances publiques,2,true
537,google/gemini-2.0-flash-001,Finances publiques,1,true
537,google/gemini-2.0-flash-001,Finances publiques,2,true
612,google/gemini-2.0-flash-001,Culture administrative et juridique,1,false
612,google/gemini-2.0-flash-001,Culture administrative et juridique,2,false
612,google/gemini-2.0-flash-001,Culture administrative et juridique,0,false
612,google/gemini-2.0-flash-001,Culture administrative et juridique,0,false
612,google/gemini-2.0-flash-001,Culture administrative et juridique,2,false
612,google/gemini-2.0-flash-001,Culture administrative et juridique,1,false
577,google/gemini-2.0-flash-001,Culture administrative et juridique,0,true
577,google/gemini-2.0-flash-001,Culture administrative et juridique,0,false
577,google/gemini-2.0-flash-001,Culture administrative et juridique,1,false
577,google/gemini-2.0-flash-001,Culture administrative et juridique,2,true
577,google/gemini-2.0-flash-001,Culture administrative et juridique,1,true
577,google/gemini-2.0-flash-001,Culture administrative et juridique,2,true
27,google/gemini-2.0-flash-001,Culture administrative et juridique,0,true
27,google/gemini-2.0-flash-001,Culture administrative et juridique,0,true
27,google/gemini-2.0-flash-001,Culture administrative et juridique,1,true
27,google/gemini-2.0-flash-001,Culture administrative et juridique,2,true
27,google/gemini-2.0-flash-001,Culture administrative et juridique,1,true
27,google/gemini-2.0-flash-001,Culture administrative et juridique,2,true
830,google/gemini-2.0-flash-001,Culture administrative et juridique,1,false
830,google/gemini-2.0-flash-001,Culture administrative et juridique,2,false
830,google/gemini-2.0-flash-001,Culture administrative et juridique,0,true
830,google/gemini-2.0-flash-001,Culture administrative et juridique,0,true
830,google/gemini-2.0-flash-001,Culture administrative et juridique,2,false
830,google/gemini-2.0-flash-001,Culture administrative et juridique,1,false
898,google/gemini-2.0-flash-001,"Organisation, fonctionnement et politiques des institutions européennes",2,true
898,google/gemini-2.0-flash-001,"Organisation, fonctionnement et politiques des institutions européennes",1,true
898,google/gemini-2.0-flash-001,"Organisation, fonctionnement et politiques des institutions européennes",2,true
898,google/gemini-2.0-flash-001,"Organisation, fonctionnement et politiques des institutions européennes",1,false
898,google/gemini-2.0-flash-001,"Organisation, fonctionnement et politiques des institutions européennes",0,true
898,google/gemini-2.0-flash-001,"Organisation, fonctionnement et politiques des institutions européennes",0,true
567,google/gemini-2.0-flash-001,Culture administrative et juridique,1,true
567,google/gemini-2.0-flash-001,Culture administrative et juridique,2,true
567,google/gemini-2.0-flash-001,Culture administrative et juridique,0,true
567,google/gemini-2.0-flash-001,Culture administrative et juridique,0,true
567,google/gemini-2.0-flash-001,Culture administrative et juridique,2,true
567,google/gemini-2.0-flash-001,Culture administrative et juridique,1,true
911,google/gemini-2.0-flash-001,Finances publiques,1,true
911,google/gemini-2.0-flash-001,Finances publiques,2,true
911,google/gemini-2.0-flash-001,Finances publiques,0,true
911,google/gemini-2.0-flash-001,Finances publiques,0,true
911,google/gemini-2.0-flash-001,Finances publiques,2,true
911,google/gemini-2.0-flash-001,Finances publiques,1,true
59,google/gemini-2.0-flash-001,Finances publiques,2,true
59,google/gemini-2.0-flash-001,Finances publiques,1,true
59,google/gemini-2.0-flash-001,Finances publiques,2,true
59,google/gemini-2.0-flash-001,Finances publiques,1,true
59,google/gemini-2.0-flash-001,Finances publiques,0,true
59,google/gemini-2.0-flash-001,Finances publiques,0,true
326,google/gemini-2.0-flash-001,Culture numérique,1,true
326,google/gemini-2.0-flash-001,Culture numérique,2,true
326,google/gemini-2.0-flash-001,Culture numérique,0,true
326,google/gemini-2.0-flash-001,Culture numérique,0,true
326,google/gemini-2.0-flash-001,Culture numérique,2,true
326,google/gemini-2.0-flash-001,Culture numérique,1,true
192,google/gemini-2.0-flash-001,Finances publiques,2,true
192,google/gemini-2.0-flash-001,Finances publiques,1,true
192,google/gemini-2.0-flash-001,Finances publiques,2,false
192,google/gemini-2.0-flash-001,Finances publiques,1,true
192,google/gemini-2.0-flash-001,Finances publiques,0,true
192,google/gemini-2.0-flash-001,Finances publiques,0,true
505,google/gemini-2.0-flash-001,Finances publiques,2,true
505,google/gemini-2.0-flash-001,Finances publiques,1,true
505,google/gemini-2.0-flash-001,Finances publiques,2,true
505,google/gemini-2.0-flash-001,Finances publiques,1,true
505,google/gemini-2.0-flash-001,Finances publiques,0,true
505,google/gemini-2.0-flash-001,Finances publiques,0,true
208,google/gemini-2.0-flash-001,"Organisation, fonctionnement et politiques des institutions européennes",2,true
208,google/gemini-2.0-flash-001,"Organisation, fonctionnement et politiques des institutions européennes",1,true
208,google/gemini-2.0-flash-001,"Organisation, fonctionnement et politiques des institutions européennes",2,true
208,google/gemini-2.0-flash-001,"Organisation, fonctionnement et politiques des institutions européennes",1,true
208,google/gemini-2.0-flash-001,"Organisation, fonctionnement et politiques des institutions européennes",0,true
208,google/gemini-2.0-flash-001,"Organisation, fonctionnement et politiques des institutions européennes",0,true
402,google/gemini-2.0-flash-001,Finances publiques,2,true
402,google/gemini-2.0-flash-001,Finances publiques,1,true
402,google/gemini-2.0-flash-001,Finances publiques,2,true
402,google/gemini-2.0-flash-001,Finances publiques,1,true
402,google/gemini-2.0-flash-001,Finances publiques,0,true
402,google/gemini-2.0-flash-001,Finances publiques,0,true
214,google/gemini-2.0-flash-001,Finances publiques,1,true
214,google/gemini-2.0-flash-001,Finances publiques,2,true
214,google/gemini-2.0-flash-001,Finances publiques,0,true
214,google/gemini-2.0-flash-001,Finances publiques,0,true
214,google/gemini-2.0-flash-001,Finances publiques,2,true
214,google/gemini-2.0-flash-001,Finances publiques,1,true
573,google/gemini-2.0-flash-001,Culture administrative et juridique,1,false
573,google/gemini-2.0-flash-001,Culture administrative et juridique,2,false
573,google/gemini-2.0-flash-001,Culture administrative et juridique,0,false
573,google/gemini-2.0-flash-001,Culture administrative et juridique,0,false
573,google/gemini-2.0-flash-001,Culture administrative et juridique,2,false
573,google/gemini-2.0-flash-001,Culture administrative et juridique,1,false
744,google/gemini-2.0-flash-001,Culture administrative et juridique,2,true
744,google/gemini-2.0-flash-001,Culture administrative et juridique,1,true
744,google/gemini-2.0-flash-001,Culture administrative et juridique,2,true
744,google/gemini-2.0-flash-001,Culture administrative et juridique,1,true
744,google/gemini-2.0-flash-001,Culture administrative et juridique,0,true
744,google/gemini-2.0-flash-001,Culture administrative et juridique,0,true
563,google/gemini-2.0-flash-001,Culture administrative et juridique,1,true
563,google/gemini-2.0-flash-001,Culture administrative et juridique,2,true
563,google/gemini-2.0-flash-001,Culture administrative et juridique,0,true
563,google/gemini-2.0-flash-001,Culture administrative et juridique,0,true
563,google/gemini-2.0-flash-001,Culture administrative et juridique,2,true
563,google/gemini-2.0-flash-001,Culture administrative et juridique,1,true
387,google/gemini-2.0-flash-001,Culture administrative et juridique,0,true
387,google/gemini-2.0-flash-001,Culture administrative et juridique,0,true
387,google/gemini-2.0-flash-001,Culture administrative et juridique,1,true
387,google/gemini-2.0-flash-001,Culture administrative et juridique,2,true
387,google/gemini-2.0-flash-001,Culture administrative et juridique,1,false
387,google/gemini-2.0-flash-001,Culture administrative et juridique,2,true
849,google/gemini-2.0-flash-001,Culture administrative et juridique,1,false
849,google/gemini-2.0-flash-001,Culture administrative et juridique,2,true
849,google/gemini-2.0-flash-001,Culture administrative et juridique,0,false
849,google/gemini-2.0-flash-001,Culture administrative et juridique,0,false
849,google/gemini-2.0-flash-001,Culture administrative et juridique,2,true
849,google/gemini-2.0-flash-001,Culture administrative et juridique,1,true
95,google/gemini-2.0-flash-001,Finances publiques,0,true
95,google/gemini-2.0-flash-001,Finances publiques,0,true
95,google/gemini-2.0-flash-001,Finances publiques,1,true
95,google/gemini-2.0-flash-001,Finances publiques,2,true
95,google/gemini-2.0-flash-001,Finances publiques,1,true
95,google/gemini-2.0-flash-001,Finances publiques,2,true
650,google/gemini-2.0-flash-001,"Organisation, fonctionnement et politiques des institutions européennes",2,true
650,google/gemini-2.0-flash-001,"Organisation, fonctionnement et politiques des institutions européennes",1,true
650,google/gemini-2.0-flash-001,"Organisation, fonctionnement et politiques des institutions européennes",2,true
650,google/gemini-2.0-flash-001,"Organisation, fonctionnement et politiques des institutions européennes",1,true
650,google/gemini-2.0-flash-001,"Organisation, fonctionnement et politiques des institutions européennes",0,true
650,google/gemini-2.0-flash-001,"Organisation, fonctionnement et politiques des institutions européennes",0,true
522,google/gemini-2.0-flash-001,Finances publiques,2,true
522,google/gemini-2.0-flash-001,Finances publiques,1,true
522,google/gemini-2.0-flash-001,Finances publiques,2,true
522,google/gemini-2.0-flash-001,Finances publiques,1,true
522,google/gemini-2.0-flash-001,Finances publiques,0,true
522,google/gemini-2.0-flash-001,Finances publiques,0,true
299,google/gemini-2.0-flash-001,Finances publiques,1,true
299,google/gemini-2.0-flash-001,Finances publiques,2,true
299,google/gemini-2.0-flash-001,Finances publiques,0,true
299,google/gemini-2.0-flash-001,Finances publiques,0,true
299,google/gemini-2.0-flash-001,Finances publiques,2,true
299,google/gemini-2.0-flash-001,Finances publiques,1,true
235,google/gemini-2.0-flash-001,Culture administrative et juridique,0,false
235,google/gemini-2.0-flash-001,Culture administrative et juridique,0,true
235,google/gemini-2.0-flash-001,Culture administrative et juridique,1,false
235,google/gemini-2.0-flash-001,Culture administrative et juridique,2,false
235,google/gemini-2.0-flash-001,Culture administrative et juridique,1,false
235,google/gemini-2.0-flash-001,Culture administrative et juridique,2,false
477,google/gemini-2.0-flash-001,Culture administrative et juridique,2,true
477,google/gemini-2.0-flash-001,Culture administrative et juridique,1,true
477,google/gemini-2.0-flash-001,Culture administrative et juridique,2,true
477,google/gemini-2.0-flash-001,Culture administrative et juridique,1,false
477,google/gemini-2.0-flash-001,Culture administrative et juridique,0,true
477,google/gemini-2.0-flash-001,Culture administrative et juridique,0,true
234,google/gemini-2.0-flash-001,Culture numérique,1,false
234,google/gemini-2.0-flash-001,Culture numérique,2,false
234,google/gemini-2.0-flash-001,Culture numérique,0,false
234,google/gemini-2.0-flash-001,Culture numérique,0,false
234,google/gemini-2.0-flash-001,Culture numérique,2,false
234,google/gemini-2.0-flash-001,Culture numérique,1,false
582,google/gemini-2.0-flash-001,Culture administrative et juridique,1,false
582,google/gemini-2.0-flash-001,Culture administrative et juridique,2,false
582,google/gemini-2.0-flash-001,Culture administrative et juridique,0,false
582,google/gemini-2.0-flash-001,Culture administrative et juridique,0,false
582,google/gemini-2.0-flash-001,Culture administrative et juridique,2,false
582,google/gemini-2.0-flash-001,Culture administrative et juridique,1,false
436,google/gemini-2.0-flash-001,"Organisation, fonctionnement et politiques des institutions européennes",1,true
436,google/gemini-2.0-flash-001,"Organisation, fonctionnement et politiques des institutions européennes",2,true
436,google/gemini-2.0-flash-001,"Organisation, fonctionnement et politiques des institutions européennes",0,true
436,google/gemini-2.0-flash-001,"Organisation, fonctionnement et politiques des institutions européennes",0,true
436,google/gemini-2.0-flash-001,"Organisation, fonctionnement et politiques des institutions européennes",2,true
436,google/gemini-2.0-flash-001,"Organisation, fonctionnement et politiques des institutions européennes",1,true
148,google/gemini-2.0-flash-001,Culture administrative et juridique,2,true
148,google/gemini-2.0-flash-001,Culture administrative et juridique,1,true
148,google/gemini-2.0-flash-001,Culture administrative et juridique,2,false
148,google/gemini-2.0-flash-001,Culture administrative et juridique,1,false
148,google/gemini-2.0-flash-001,Culture administrative et juridique,0,false
148,google/gemini-2.0-flash-001,Culture administrative et juridique,0,false
475,google/gemini-2.0-flash-001,Culture administrative et juridique,2,true
475,google/gemini-2.0-flash-001,Culture administrative et juridique,1,true
475,google/gemini-2.0-flash-001,Culture administrative et juridique,2,true
475,google/gemini-2.0-flash-001,Culture administrative et juridique,1,true
475,google/gemini-2.0-flash-001,Culture administrative et juridique,0,true
475,google/gemini-2.0-flash-001,Culture administrative et juridique,0,true
448,google/gemini-2.0-flash-001,Culture numérique,0,true
448,google/gemini-2.0-flash-001,Culture numérique,0,true
448,google/gemini-2.0-flash-001,Culture numérique,1,true
448,google/gemini-2.0-flash-001,Culture numérique,2,true
448,google/gemini-2.0-flash-001,Culture numérique,1,true
448,google/gemini-2.0-flash-001,Culture numérique,2,true
622,google/gemini-2.0-flash-001,Culture administrative et juridique,2,true
622,google/gemini-2.0-flash-001,Culture administrative et juridique,1,true
622,google/gemini-2.0-flash-001,Culture administrative et juridique,2,true
622,google/gemini-2.0-flash-001,Culture administrative et juridique,1,true
622,google/gemini-2.0-flash-001,Culture administrative et juridique,0,true
622,google/gemini-2.0-flash-001,Culture administrative et juridique,0,true
319,google/gemini-2.0-flash-001,"Organisation, fonctionnement et politiques des institutions européennes",1,true
319,google/gemini-2.0-flash-001,"Organisation, fonctionnement et politiques des institutions européennes",2,true
319,google/gemini-2.0-flash-001,"Organisation, fonctionnement et politiques des institutions européennes",0,true
319,google/gemini-2.0-flash-001,"Organisation, fonctionnement et politiques des institutions européennes",0,true
319,google/gemini-2.0-flash-001,"Organisation, fonctionnement et politiques des institutions européennes",2,false
319,google/gemini-2.0-flash-001,"Organisation, fonctionnement et politiques des institutions européennes",1,true
657,google/gemini-2.0-flash-001,"Organisation, fonctionnement et politiques des institutions européennes",1,true
657,google/gemini-2.0-flash-001,"Organisation, fonctionnement et politiques des institutions européennes",2,true
657,google/gemini-2.0-flash-001,"Organisation, fonctionnement et politiques des institutions européennes",0,true
657,google/gemini-2.0-flash-001,"Organisation, fonctionnement et politiques des institutions européennes",0,true
657,google/gemini-2.0-flash-001,"Organisation, fonctionnement et politiques des institutions européennes",2,true
657,google/gemini-2.0-flash-001,"Organisation, fonctionnement et politiques des institutions européennes",1,true
552,google/gemini-2.0-flash-001,Culture numérique,0,true
552,google/gemini-2.0-flash-001,Culture numérique,0,true
552,google/gemini-2.0-flash-001,Culture numérique,1,true
552,google/gemini-2.0-flash-001,Culture numérique,2,true
552,google/gemini-2.0-flash-001,Culture numérique,1,true
552,google/gemini-2.0-flash-001,Culture numérique,2,true
84,google/gemini-2.0-flash-001,"Organisation, fonctionnement et politiques des institutions européennes",1,true
84,google/gemini-2.0-flash-001,"Organisation, fonctionnement et politiques des institutions européennes",2,true
84,google/gemini-2.0-flash-001,"Organisation, fonctionnement et politiques des institutions européennes",0,true
84,google/gemini-2.0-flash-001,"Organisation, fonctionnement et politiques des institutions européennes",0,true
84,google/gemini-2.0-flash-001,"Organisation, fonctionnement et politiques des institutions européennes",2,true
84,google/gemini-2.0-flash-001,"Organisation, fonctionnement et politiques des institutions européennes",1,true
468,google/gemini-2.0-flash-001,Culture administrative et juridique,2,true
468,google/gemini-2.0-flash-001,Culture administrative et juridique,1,true
468,google/gemini-2.0-flash-001,Culture administrative et juridique,2,true
468,google/gemini-2.0-flash-001,Culture administrative et juridique,1,true
468,google/gemini-2.0-flash-001,Culture administrative et juridique,0,true
468,google/gemini-2.0-flash-001,Culture administrative et juridique,0,true
